,stallName,region,postalCode,locationName,images,,stallNumber,deliveryAvailable,contact,foodTheyServe,favorites,dietaryRestrictions,priceRange,nameOfHawker,moreAboutThisHawker,openingHours,whatAreTheConcernsThisHawkerIsFacing,recommendedBy,,,,,
Timestamp,Name of Hawker Stall,"Location (North South East West Central)
Details in comment",Postal Code,Name of Hawker Centre / Coffee Shop,"Storefront Picture / Food from Stall
UPLOAD TO FOLDER IN LINK",Detailed Address (If not hawker centre),Stall Number,Delivery Available?,Hawker Contact Number / Delivery Contact Number,What food do they serve?,Your favourites from the stall,Halal / Vegetarian,General Price Range,Name of Hawker/Chef/Owner,More about this Hawker / Food,Opening Hours / Rest Day,What are the concerns/problems the hawker is facing? ,Your name / instagram name,,,,,
5/23/2021 15:11:00,如意素食 Vegetarian,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1YNpc_bUgb7zGCCKB1NC2OGYeSeZmb5bg,,#01-70,WhyQ,,Vegetarian mee and bee hoon,Fried Mee and Crispy soy skin,Vegetarian,,Auntie,Delicious and homely tasting vegetarian noodles. Auntie can be abit grouchy but once you talk and get to know her she is very nice and will give you more liao,6am - 2pm,"Business hit badly, no one dabaoing",Darren,,,,,
5/23/2021 23:45:15,63 Laksa,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1d1A3TFgepr0LOPPn3rP5AK6OpZFrQhdt,,#01-20,,,Laksa,,,,,Cheap and homely tasting laksa with a fragrant kick of coconut. Owner is a cool and friendly guy!,8am - 3pm,,Darren,,,,,
5/23/2021 23:47:12,Alexandra Village Avocado Fruit Juice,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1VDARpV3gQRaUDF3iEqpnpVYrMby27Gck,,#01-14,,,Fruit Juice,,,,,,,,Darren,,,,,
5/23/2021 23:54:19,An Ji Traditional Hainanese Chicken Rice,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1mPR6UdwXdjsM1MJlKM5ZvG9Fa0Wymybd,,#01-15,No,,White Chicken Rice,,,,,"Homely, simple chicken rice that tastes like those I had in primary school. Cooked by a pair of elderly aunties that live nearby. They are also open till quite late.",,,Darren,,,,,
5/24/2021 0:12:44,Chuan Kee Boneless Braised Duck,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1MgXl2oZZpib7ENGF2Qu2ZFsrwIATgain,,#01-04,"Grab, Foodpanda, WhyQ",,Braised Duck Rice and noodles,"Duck Hor Fun, Gizzards, Peanuts",,,,Been eating their duck rice before they were famous and at the old ghim moh market. Queues are insane but the duck rice and noodles are really nice and affordable. Chilli is bombs too. Definitely happy they got a michellin bib gourmand but also means even longer queues :(,10am - 8pm ,,Darren,,,,,
5/24/2021 0:22:03,Deli Snacks ,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1T7uHtmzv1aXOrF_bgBswd3HL1C35skRU,,#01-23,,,"You Tiao, Chinese fried pastries",Butterfly. red bean,,,,"Butterfly, red bean pastry is really good, especially fresh. Queue is quite long in the mornings.",6am-12pm,,Darren,,,,,
5/24/2021 0:32:06,Hong Seng Fish Soup,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1MJkspKqNktQlZz-IjjedTujOGrG8RAq8,,#01-08,WhyQ,,"Fish Soup, Vinegar Trotters, Seafood Pao Fan",Seafood Pao Fan,,$5 - $8,,"Started as a comforting fish soup stall with generous portion but their new additions of seafood pao fan and vinegar trotters are also delicious, which shows the talent of the chef. ",11am - 8pm,Business hit since office lunch crowd is gone. Delivery doesnt help much,Darren,,,,,
5/24/2021 0:38:59,Tong Fong Fatt Hainanese Boneless Chicken Rice,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1Hm7BZmWlZJ-hewYY77kOFamCRL1JndR0,,#01-24,"Grab, Foodpanda, WhyQ",,Chicken Rice,"Half a chicken and 2 rice, gizzards!",,$3 - $5,,"Best Chicken Rice in SG. Favourite stall in Ghim Moh ever since childhood. Everyone I have ever brought to try has been a convert. Their chicken is soft, sauce is packed with flavour and the soup is comfort in a bowl. The price has also stayed at $2.50 even after 15 years. If I had 1 stall to recommend in Ghim Moh Market, this would be it. Am good friends with some of the loyal aunties and uncles that have stayed on. ",10am - 8pm,,Darren,,,,,
5/24/2021 0:45:36,Western Delights,Central,270020,Ghim Moh Market and Hawker Centre,https://drive.google.com/drive/folders/1oUH8Ww3DFKHH2yODEJaM0eKUrtVfbXYi,,#01-58,Direct Call,,"Western Food, Chicken Chop etc",Chicken Chop,,$5 - $8,,Always go for their chicken chop and fried chicken wings.Has a very distinctive Singaporean western taste which makes it very familiar to anyone growing up in the early 2000s. The elderly couple running the store are really friendly and nice to talk to. I always ask for extra coleslaw lol,11am-8.30pm,,Darren,,,,,
